school_name,district_name,year,grad_rate,cohort_size,sat_total,sat_math,sat_reading,sat_writing,school_grade,grade_score,mobility_rate,mobility_count,discipline_percent,hope_eligible_count,hope_eligible_percent
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,49.516,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,49.516,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,49.594,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,49.594,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.2088,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.2088,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.354,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.354,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.316,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.316,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.777,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.777,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.0356,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.0356,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.4026,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.4026,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.62100000000001,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.62100000000001,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.1134,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.1134,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.1344,176.0,51.46
